name,type,url,recommended_style,tech_tags
TypeScript Deep Dive,Book,https://basarat.gitbooks.io/typescript/,Reading/Writing,"TypeScript, Beginner"
"TypeScript Succinctly, Syncfusion",Book,https://www.syncfusion.com/resources/techportal/ebooks/typescript,Reading/Writing,"TypeScript, Beginner"
TypeScript Cheat Sheet by Robert Molina,Book,https://rmolinamir.github.io/typescript-cheatsheet/,Reading/Writing,"TypeScript, Beginner"
TypeScript: TS Playground,Online Course,https://www.typescriptlang.org/play,Kinesthetic,"TypeScript, Beginner"
TypeScript for C# Programmers,Book,http://www.infoq.com/minibooks/typescript-c-sharp-programmers,Reading/Writing,"TypeScript, Beginner"
TypeScript in 50 Lessons by Stefan Baumgartner,Book,https://www.smashingmagazine.com/provide/eBooks/typescript-in-50-lessons.pdf,Reading/Writing,"TypeScript, Beginner"
TypeScript Notes for Professionals by Compiled from StackOverflow documentation,Book,https://goalkicker.com/TypeScriptBook2/,Reading/Writing,"TypeScript, Beginner"
"TypeScript Fast Crash Course by Edwin Diaz, Coding Faculty Solutions",Online Course,https://www.udemy.com/typescript-fast-crash-course/,"Visual,Auditory,Kinesthetic,Reading/Writing","TypeScript, Beginner"
TypeScript Tutorial for Beginners 2022 by Programming with Mosh,Video,https://www.youtube.com/watch?v=d56mG7DezGs,Visual,"TypeScript, Beginner"
TypeScript Course for BeginnersLearn TypeScript from Scratch! by Academind,Video,https://www.youtube.com/watch?v=BwuLxPH8IDs,Visual,"TypeScript, Beginner"
Learn TypeScript,Online Course,https://www.codecademy.com/learn/learn-typescript,"Visual,Auditory,Kinesthetic,Reading/Writing","TypeScript, Beginner"
"ES6 and Typescript Tutorial by Codevolution, Vishwas Gopinath",Video,https://www.youtube.com/playlist?list=PLC3y8-rFHvwhI0V5mE9Vu6Nm-nap8EcjV,"Visual, Kinesthetic","TypeScript, Beginner"
Learn TypeScript in Y Minutes,Video,https://learnxinyminutes.com/docs/typescript/,"Visual, Kinesthetic","TypeScript, Beginner"
"Essential TypeScript by Krzysztof Kowalczyk, StackOverflow Contributors",Book,https://www.programming-books.io/essential/typescript/,Reading/Writing,"TypeScript, Beginner"
Beginner's Typescript by Matt Pocock,Online Course,https://www.totaltypescript.com/tutorials/beginners-typescript,"Visual,Auditory,Kinesthetic,Reading/Writing","TypeScript, Beginner"
Tackling TypeScript: Upgrading from JavaScript by Dr. Axel Rauschmayer,Book,https://exploringjs.com/ts/book/index.html,Reading/Writing,"TypeScript, Beginner"
Introduction to TypeScript by Daniel Stern,Online Course,https://www.udemy.com/typescript/,"Visual,Auditory,Kinesthetic,Reading/Writing","TypeScript, Beginner"
"Essential Nextjs Typescript Tailwind Stack by Fireship, Ben Awad, Traversy Media, Devs Force",Video,https://www.youtube.com/playlist?list=PLKEkvhqFCRwL94nLP-TdIfNmbiZk5FCMx,Visual,"TypeScript, Beginner"
Cloudera Impala by John Russel,Book,https://docs.cloudera.com/documentation/enterprise/latest/PDF/cloudera-impala.pdf,Reading/Writing,"Cloud, Beginner"
Cloud Design Patterns,Article,https://docs.microsoft.com/en-us/azure/architecture/patterns/,Reading/Writing,"Cloud, Beginner"
Cloud Computing Basics with AWS by Trailhead,Online Course,https://trailhead.salesforce.com/content/learn/modules/aws-cloud,"Visual,Auditory,Kinesthetic,Reading/Writing","Cloud, Beginner"
Cloud Computing Tutorial by Scaler,Online Course,https://www.scaler.com/topics/cloud-computing/,"Visual,Auditory,Kinesthetic,Reading/Writing","Cloud, Beginner"
"Cloud Computing for Science and Engineering by Ian Foster, Dennis B. Gannon",Book,https://cloud4scieng.org/chapters/,Reading/Writing,"Cloud, Beginner"
Google Cloud Platform Podcast by Google Cloud Platform team,Podcast,https://www.gcppodcast.com/,Auditory,"Cloud, Beginner"
On Cloud by Deloitte US,Podcast,https://www2.deloitte.com/us/en/pages/consulting/topics/cloud-podcast.html,Auditory,"Cloud, Beginner"
"The Cloudcast by Aaron Delp, Brian Gracely",Podcast,https://www.thecloudcast.net/,Auditory,"Cloud, Beginner"
Cloud Computing Full Course In 11 Hours | Cloud Computing Tutorial For Beginners by Edureka!,Video,https://www.youtube.com/watch?v=2LaAJq1lB1Q,"Visual,Auditory,Kinesthetic,Reading/Writing","Cloud, Beginner"
"The Cloud Pod by Justin Brodley, Jonathan Baker, Ryan Lucas and Peter Roosakos",Podcast,https://www.thecloudpod.net/,Auditory,"Cloud, Beginner"
IBM Cloud Essentials V3 by CognitiveClass.ai,Online Course,https://cognitiveclass.ai/courses/ibm-cloud-essentials,"Visual,Auditory,Kinesthetic,Reading/Writing","Cloud, IBM, Beginner"
Google Cloud Platform,Online Course,https://cloud.google.com/training/free-labs/,"Visual,Auditory,Kinesthetic,Reading/Writing","Cloud, Google, Beginner"
